"","species","identifier","year","y_coordinate","x_coordinate","spatial_uncertainty"
"1","colletes succinctus","BWARS",2010,94000,397000,1000
"2","colletes succinctus","BWARS",2010,95000,398000,1000
"3","colletes hederae","BWARS",2010,144000,435000,1000
"4","colletes hederae","BWARS",2010,138000,443000,1000
"5","colletes hederae","BWARS",2010,145000,438000,1000
"6","colletes hederae","BWARS",2010,144000,435000,1000
"7","colletes hederae","BWARS",2010,87000,397000,1000
"8","colletes hederae","BWARS",2010,92000,424000,1000
"9","colletes hederae","BWARS",2010,92000,423000,1000
"10","colletes hederae","BWARS",2010,92000,424000,1000
"11","colletes hederae","BWARS",2010,92000,424000,1000
"12","colletes hederae","BWARS",2010,88000,322000,1000
"13","colletes hederae","BWARS",2010,88000,322000,1000
"14","colletes hederae","BWARS",2010,84000,369000,1000
"15","colletes hederae","BWARS",2010,91000,411000,1000
"16","colletes hederae","BWARS",2010,91000,413000,1000
"17","colletes hederae","BWARS",2010,91000,411000,1000
"18","colletes hederae","BWARS",2010,91000,412000,1000
"19","colletes hederae","BWARS",2010,90000,407000,1000
"20","colletes hederae","BWARS",2010,91000,408000,1000
"21","colletes hederae","BWARS",2010,92000,406000,1000
"22","colletes hederae","BWARS",2010,93000,408000,1000
"23","colletes hederae","BWARS",2010,158000,329000,1000
"24","colletes hederae","BWARS",2010,146000,417000,1000
"25","colletes hederae","BWARS",2010,146000,418000,1000
"26","colletes hederae","BWARS",2010,102000,430000,1000
"27","colletes hederae","BWARS",2010,102000,430000,1000
"28","colletes hederae","BWARS",2010,102000,430000,1000
"29","colletes hederae","BWARS",2010,137000,493000,1000
"30","colletes hederae","BWARS",2010,103000,451000,1000
"31","colletes hederae","BWARS",2010,103000,451000,1000
"32","colletes hederae","BWARS",2010,103000,451000,1000
"33","colletes hederae","BWARS",2010,103000,451000,1000
"34","colletes hederae","BWARS",2010,82000,307000,1000
"35","colletes hederae","BWARS",2010,81000,376000,1000
"36","colletes hederae","BWARS",2010,172000,467000,1000
"37","colletes hederae","BWARS",2010,101000,448000,1000
"38","colletes hederae","BWARS",2010,101000,448000,1000
"39","colletes hederae","BWARS",2010,85000,368000,1000
"40","colletes hederae","BWARS",2010,164000,527000,1000
"41","colletes hederae","BWARS",2010,84000,379000,1000
"42","colletes hederae","BWARS",2010,103000,390000,1000
"43","colletes hederae","BWARS",2010,93000,336000,1000
"44","colletes hederae","BWARS",2010,93000,336000,1000
"45","colletes hederae","BWARS",2010,93000,336000,1000
"46","colletes hederae","BWARS",2010,142000,422000,1000
"47","colletes hederae","BWARS",2010,95000,414000,1000
"48","colletes hederae","BWARS",2010,1e+05,403000,1000
"49","colletes hederae","BWARS",2010,118000,387000,1000
"50","colletes hederae","BWARS",2010,153000,637000,1000
"51","colletes hederae","BWARS",2010,153000,637000,1000
"52","colletes hederae","BWARS",2010,152000,637000,1000
"53","colletes hederae","BWARS",2010,130000,444000,1000
"54","colletes hederae","BWARS",2010,131000,444000,1000
"55","colletes hederae","BWARS",2010,90000,369000,1000
"56","colletes hederae","BWARS",2010,105000,467000,1000
"57","colletes hederae","BWARS",2010,77000,403000,1000
"58","colletes hederae","BWARS",2010,80000,3e+05,1000
"59","colletes hederae","BWARS",2010,106000,459000,1000
"60","colletes hederae","BWARS",2010,147000,483000,1000
"61","colletes hederae","BWARS",2010,147000,483000,1000
"62","colletes hederae","BWARS",2010,147000,482000,1000
"63","colletes hederae","BWARS",2010,97000,460000,1000
"64","colletes hederae","BWARS",2010,148000,5e+05,1000
"65","colletes hederae","BWARS",2010,40000,275000,1000
"66","colletes hederae","BWARS",2010,90000,417000,1000
"67","colletes hederae","BWARS",2010,62000,289000,1000
"68","colletes hederae","BWARS",2010,108000,442000,1000
"69","colletes hederae","BWARS",2010,132000,453000,1000
"70","colletes hederae","BWARS",2010,24000,145000,1000
"71","colletes hederae","BWARS",2010,24000,145000,1000
"72","colletes hederae","BWARS",2010,105000,392000,1000
"73","colletes hederae","BWARS",2010,44000,273000,1000
"74","colletes hederae","BWARS",2010,149000,637000,1000
"75","colletes hederae","BWARS",2010,24000,145000,1000
"76","colletes hederae","BWARS",2010,98000,444000,1000
"77","colletes hederae","BWARS",2010,110000,541000,1000
"78","colletes hederae","BWARS",2010,124000,608000,1000
"79","colletes hederae","BWARS",2010,81000,368000,1000
"80","colletes hederae","BWARS",2010,95000,432000,1000
"81","colletes hederae","BWARS",2010,95000,432000,1000
"82","colletes hederae","BWARS",2010,129000,450000,1000
"83","colletes hederae","BWARS",2010,159000,575000,1000
"84","colletes hederae","BWARS",2010,31000,151000,1000
"85","colletes hederae","BWARS",2010,119000,405000,1000
"86","colletes hederae","BWARS",2010,67000,184000,1000
"87","colletes hederae","BWARS",2010,67000,184000,1000
"88","colletes hederae","BWARS",2010,121000,488000,1000
"89","colletes hederae","BWARS",2010,121000,488000,1000
"90","colletes hederae","BWARS",2010,92000,429000,1000
"91","colletes hederae","BWARS",2010,91000,428000,1000
"92","colletes hederae","BWARS",2010,146000,296000,1000
"93","colletes hederae","BWARS",2010,93000,340000,1000
"94","colletes hederae","BWARS",2010,85000,456000,1000
"95","colletes hederae","BWARS",2010,71000,285000,1000
