"latin","GridReference","StartDate","Year","GRIDREF_1KM_PREC"
"bombus pascuorum","NT273733",2012-10-08,2012,"NT2773"
"bombus pascuorum","NT273733",2012-10-08,2012,"NT2773"
"bombus pascuorum","NT273733",2012-09-27,2012,"NT2773"
"bombus lucorum sensu lato","NT273733",2012-07-19,2012,"NT2773"
"bombus lucorum sensu lato","NT273733",2012-07-19,2012,"NT2773"
"bombus pratorum","NT273733",2012-07-19,2012,"NT2773"
"bombus terrestris","NT273733",2012-07-19,2012,"NT2773"
"bombus lucorum sensu lato","NT265731",2012-07-19,2012,"NT2673"
"bombus lucorum sensu lato","NT265731",2012-07-19,2012,"NT2673"
"bombus lucorum sensu lato","NT273733",2012-05-21,2012,"NT2773"
"bombus lucorum sensu lato","NT265731",2012-05-21,2012,"NT2673"
"bombus lucorum sensu lato","NT265731",2012-05-21,2012,"NT2673"
"bombus pascuorum","NT265731",2012-05-21,2012,"NT2673"
"bombus terrestris","NT265731",2012-05-21,2012,"NT2673"
"bombus terrestris","NT273733",2012-04-09,2012,"NT2773"
"bombus lapidarius","NT265731",2012-04-09,2012,"NT2673"
"bombus lucorum sensu lato","NT265731",2012-04-09,2012,"NT2673"
"bombus terrestris","NT265731",2012-04-09,2012,"NT2673"
"bombus lucorum sensu lato","NT265731",2012-04-09,2012,"NT2673"
"bombus lapidarius","NT265731",2012-04-09,2012,"NT2673"
"bombus terrestris","NT265731",2012-04-09,2012,"NT2673"
"bombus terrestris","NT265731",2012-03-26,2012,"NT2673"
"bombus terrestris","NT265731",2012-03-26,2012,"NT2673"
"bombus campestris","SK218689",2010-09-01,2010,"SK2168"
"bombus terrestris","SK218689",2010-07-06,2010,"SK2168"
"bombus lapidarius","SK218689",2010-07-06,2010,"SK2168"
"bombus hortorum","SK218689",2010-07-06,2010,"SK2168"
"bombus lucorum sensu lato","SK218689",2010-07-06,2010,"SK2168"
"bombus lucorum sensu lato","SK218689",2010-07-06,2010,"SK2168"
"bombus lapidarius","SK218689",2010-07-06,2010,"SK2168"
"bombus hypnorum","SK218689",2010-07-06,2010,"SK2168"
"bombus lucorum sensu lato","SK218689",2010-07-06,2010,"SK2168"
"bombus terrestris","SK218689",2010-07-06,2010,"SK2168"
"bombus lucorum sensu lato","SK218689",2010-07-06,2010,"SK2168"
"bombus lucorum sensu lato","SK218689",2010-07-06,2010,"SK2168"
"bombus hypnorum","SK218689",2010-07-06,2010,"SK2168"
"bombus terrestris","SK218689",2010-07-06,2010,"SK2168"
"bombus hypnorum","SK218689",2010-09-01,2010,"SK2168"
"bombus terrestris","SK218689",2010-09-01,2010,"SK2168"
